photo_filename,back_photo_filename,player,year,set,card_number,variant,grade,notes,added_at
michael_jordan_1993_94_fleer_ultra_scoring_kings_1787742068890.jpg,,Michael Jordan,1993-94,Fleer Ultra Scoring Kings,5,,,Insert set - not a base card,
PXL_20260826_041733259.jpg,,Michael Jordan,1992-93,Stadium Club Beam Team,1,,BGS 8.5,Graded slab - visible on label,
PXL_20260825_232005150.jpg,,Kobe Bryant,1997-98,Skybox Z-Force Boss,2,,,,
PXL_20260825_232756701.jpg,,Michael Jordan,2012-13,Upper Deck SP By The Letter,BL-MJ,,BGS 9,CGA Graded 100,
PXL_20260825_232820254.jpg,,Michael Jordan,1995-96,Skybox Premium Standouts,SH1,,BGS 9,,
PXL_20260825_232904421.jpg,,Kobe Bryant,1998-99,Fleer Electrifying,1,,BGS 9,,
PXL_20260825_232929304.jpg,,Michael Jordan,1995-96,Skybox Premium Electrified,278,,,,
PXL_20260826_041335588.jpg,,Michael Jordan,1993-94,Fleer Ultra,30,,PSA 8,,
PXL_20260826_041400845.jpg,,Vince Carter,1998-99,Fleer Ultra,106,,PSA 8.5,,
PXL_20260826_041418896.jpg,,Vince Carter,1998-99,Topps Chrome,199,,PSA 10,,
PXL_20260826_041443443.jpg,,Vince Carter,1998-99,Flair Showcase Row 3,25,,PSA 9,,
PXL_20260826_041459395.jpg,,Jason Kidd,1994-95,Topps Finest,286,,PSA 9,,
PXL_20260826_041605531.jpg,,Shaquille O'Neal,1992-93,Upper Deck Trade Card,1b,,PSA 7,,
PXL_20260826_041641965.jpg,,Michael Jordan,1999-00,Upper Deck MVP,199,,BGS 9,,
PXL_20260826_041749906.jpg,,Michael Jordan,2013-14,Upper Deck SP By The Letter,BL-MJ,,PSA 9,CGA Graded 94,
PXL_20260826_041811109.jpg,,Vince Carter,1998-99,SPX Finite,215,,BGS 8.5,,
PXL_20260826_041821092.jpg,,Kobe Bryant,2013,Fathers Day Studio Cracked Ice,20,,BGS 9.5,,
PXL_20260826_042039455.jpg,,Michael Jordan,1993-94,Power In The Key,2,,,,
PXL_20260826_042031096.jpg,,Lebron James,2019-2020,High Voltage,2,,PSA 9,,
rui_hachimura_2019_20_prizm_1787740391150.jpg,,Rui Hachimura,2019-20,Prizm,255,Silver,9.5,,
kobe_bryant_1998_99_hoops_1787742390280.jpg,,Kobe Bryant,1998-99,Hoops,4,Pump Up The Jam,,,2026-08-26T11:06:34.122Z
ben_simmons_2016_17_prizm_1787742472002.jpg,,Ben Simmons,2016-17,Prizm,1,,BGS 8.5,,2026-08-26T11:07:55.667Z
